date;state;city;place_type;confirmed;deaths;order_for_place;is_last;estimated_population_2019;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;country;state_name
2021-09-16;CE;Banabuiú;city;2330;22;452;True;18197.0;18256.0;2301851.0;12762.92726;0.0094;Brazil;Ceará
2021-09-16;CE;Barbalha;city;7017;163;450;True;60781.0;61228.0;2301901.0;11460.44293;0.0232;Brazil;Ceará
2021-09-16;CE;Barreira;city;1600;50;457;True;22425.0;22573.0;2301950.0;7088.11412;0.0312;Brazil;Ceará
2021-09-16;CE;Barro;city;1842;45;434;True;22680.0;22758.0;2302008.0;8093.85711;0.0244;Brazil;Ceará
2021-09-16;CE;Barroquinha;city;1316;25;460;True;15017.0;15044.0;2302057.0;8747.67349;0.019;Brazil;Ceará
2021-09-16;CE;Baturité;city;4213;87;456;True;35750.0;35941.0;2302107.0;11721.98882;0.0207;Brazil;Ceará
2021-09-16;CE;Beberibe;city;5681;129;472;True;53573.0;53949.0;2302206.0;10530.31567;0.0227;Brazil;Ceará
2021-09-16;CE;Bela Cruz;city;3504;73;454;True;32591.0;32722.0;2302305.0;10708.39191;0.0208;Brazil;Ceará
2021-09-16;CE;Boa Viagem;city;4312;117;446;True;54470.0;54577.0;2302404.0;7900.76406;0.0271;Brazil;Ceará
2021-09-16;CE;Brejo Santo;city;8435;155;447;True;49477.0;49842.0;2302503.0;16923.47819;0.0184;Brazil;Ceará
2021-09-16;CE;Camocim;city;6285;163;456;True;63661.0;63907.0;2302602.0;9834.60341;0.0259;Brazil;Ceará
2021-09-16;CE;Campos Sales;city;2527;40;447;True;27426.0;27470.0;2302701.0;9199.12632;0.0158;Brazil;Ceará
2021-09-16;CE;Canindé;city;5599;210;468;True;76997.0;77244.0;2302800.0;7248.45943;0.0375;Brazil;Ceará
2021-09-16;CE;Capistrano;city;2454;36;457;True;17738.0;17786.0;2302909.0;13797.36872;0.0147;Brazil;Ceará
2021-09-16;CE;Caridade;city;1698;52;456;True;22547.0;22782.0;2303006.0;7453.25257;0.0306;Brazil;Ceará
2021-09-16;CE;Caririaçu;city;1561;46;445;True;26965.0;26987.0;2303204.0;5784.2665;0.0295;Brazil;Ceará
2021-09-16;CE;Cariré;city;2512;48;447;True;18448.0;18459.0;2303105.0;13608.53784;0.0191;Brazil;Ceará
2021-09-16;CE;Cariús;city;2333;32;465;True;18699.0;18699.0;2303303.0;12476.60303;0.0137;Brazil;Ceará
2021-09-16;CE;Carnaubal;city;2208;28;448;True;17606.0;17685.0;2303402.0;12485.15691;0.0127;Brazil;Ceará
